"1205","0012","A2"
"1205","0022","C"
"1206","0012","C"
"1206","0022","C"
"1207","0012","C"
"1207","0022","C"
"1208","0012","C"
"1208","0022","A2"
"1209","0012","C"
"1209","0022","A2"
"1209","0045","A2"
"121","0040","MLNRV1"
"121","0050",
"1210","0012","C"
"1210","0022","A2"
"1210","0045","A2"
"1211","0012","C"
"1211","0022","A2"
"1211","0045","A2"
"1212","0012","C"
"1212","0022","A2"
"1212","0045","A2"
"1213","0012","C"
"1213","0022","A2"
"1213","0045","A2"
"1214","0012","C"
"1214","0022","A2"
"1214","0045","A2"
"1215","0012","C"
"1215","0022","A2"
"1215","0045","A2"
"1216","0012","C"
"1216","0022","A2"
"1216","0045","A2"
"1217","0012","C"
"1217","0022","A2"
"1217","0045","A2"
"1218","0022","A2"
"1218","0045","A2"
"1219","0012","C"
"1219","0022","A1"
"1219","0022","C"
"1219","0045","C"
"122","0040","MLNRV1"
"1220","0022","A1"
"1220","0022","C"
"1220","0045","C"
"1221","0022","A1"
"1221","0045","C"
"1222","0022","A1"
"1222","0045","C"
"1223","0022","A1"
"1223","0045","C"
"1224","0022","A1"
"1224","0045","C"
"1225","0022","A1"
"1225","0045","C"
"1226","0022","A1"
"1226","0045","C"
"1227","0022","A1"
"1227","0045","C"
"1228","0022","A1"
"1228","0045","C"
"1229","0022","A1"
"1229","0045","C"
"123","0050",
"1230","0022","A1"
"1230","0045","C"
"1231","0022","A1"
"1231","0045","C"
"1232","0022","A1"
"1232","0045","C"
"1233","0022","A1"
"1233","0045","C"
"1234","0022","A1"
"1234","0045","C"
"1235","0022","A1"
"1235","0045","C"
"1236","0022","A1"
"1236","0045","C"
"1237","0022","A1"
"1237","0045","C"
"1238","0022","A1"
"1238","0045","C"
"1239","0022","D"
"1239","0045","C"
"1240","0022","D"
"1240","0045","C"
"1241","0022","D"
"1241","0045","C"
"1242","0022","D"
"1242","0045","C"
"1243","0022","D"
"1243","0045","C"
"1244","0022","D"
"1244","0045","C"
"1245","0022","D"
"1245","0045","C"
"1246","0022","D"
"1246","0045","C"
"1247","0022","D"
"1247","0045","C"
"1248","0022","D"
"1248","0045","C"
"1249","0022","D"
"1249","0045","C"
"125","0050",
"1250","0022","D"
"1250","0045","C"
"1251","0022","D"
"1251","0045","C"
"1252","0022","D"
"1252","0045","C"
"1253","0022","D"
"1253","0045","C"
"1254","0022","D"
"1254","0045","C"
"1255","0022","D"
"1255","0045","C"
"1256","0022","D"
"1256","0045","C"
"1257","0022","D"
"1257","0045","A2"
"1258","0022","D"
"1259","0022","D"
"1259","0045","A2"
"1260","0022","D"
"1261","0022","D"
"1261","0045","A2"
"1262","0022","D"
"1262","0045","A2"
"1263","0022","D"
"1263","0045","A2"
"1264","0022","D"
"1264","0045","A2"
"1265","0022","D"
"1266","0022","D"
"1267","0022","D"
"1268","0022","D"
"1269","0022","D"
"127","0050",
"1270","0022","D"
"1271","0022","D"
"1272","0022","D"
"1273","0022","D"
"1274","0022","D"
"1275","0022","D"
"1276","0022","D"
"1277","0022","D"
"1278","0022","D"
"1279","0022","D"
"1280","0022","D"
"1281","0022","D"
"1282","0022","D"
"1283","0022","C"
"1284","0022","A2"
"1285","0022","A2"
"1286","0022","A2"
"1287","0022","A2"
"1288","0022","A2"
"1289","0022","A2"
"129","0050",
"1290","0022","A2"
"1291","0022","A2"
"1292","0022","A1"
"1293","0022","A1"
"1294","0022","A1"
"13","0012","C"
"13","0017","A2"
"13","0022","C"
"13","0030","C"
"13","0047","MA"
"1301","0012","C"
"1302","0012","C"
"1303","0012","C"
"1304","0012","C"
"1305","0012","C"
"1306","0012","C"
"1307","0012","C"
"1308","0012","C"
"1309","0012","C"
"131","0050",
"1310","0012","C"
"1311","0012","C"
"1312","0012","C"
"1313","0012","C"
"1314","0012","C"
"1315","0012","C"
"1316","0012","C"
"1317","0012","C"
"1318","0012","C"
"1319","0012","C"
"1320","0012","C"
"1321","0012","C"
"1322","0012","C"
"1323","0012","C"
"1324","0012","C"
"1325","0012","C"
"1326","0012","C"
"1327","0012","C"
"1328","0012","C"
"1329","0012","C"
"133","0050",
"1330","0012","C"
"1331","0012","C"
"1332","0012","C"
"1333","0012","C"
"1334","0012","C"
"1335","0012","C"
"1336","0012","C"
"1337","0012","C"
"1338","0012","C"
"1338","0022","A2"
"1339","0012","C"
"1339","0022","A2"
"1340","0012","C"
"1340","0022","A2"
"1341","0012","C"
"1341","0022","A2"
"1342","0012","A2"
"1342","0022","A2"
"1343","0012","A2"
"1343","0022","A2"
"1344","0022","A2"
"1345","0022","A2"
"1346","0022","A2"
"1347","0022","A2"
"1348","0022","A2"
"1349","0022","A2"
"135","0050",
"1350","0022","C"
"1351","0022","C"
"1352","0022","C"
"1353","0022","C"
"1354","0022","C"
"1355","0022","C"
"1356","0022","C"
"1357","0022","C"
"1358","0022","C"
"1359","0022","C"
"1360","0022","C"
"1361","0022","C"
"1362","0022","C"
"1363","0022","C"
"1364","0022","C"
